Серьезность	Код	Описание	Проект	Файл	Строка	Состояние подавления	Подробности
Ошибка (активно)	CS0103	Имя "DiscordWebhookUrl" не существует в текущем контексте.	CheatHunterBTR	C:\CheatHunterBTR\Program.cs	349		
Ошибка (активно)	CS0161	"Program.LoadSearchStrings()": не все пути к коду возвращают значение.	CheatHunterBTR	C:\CheatHunterBTR\Program.cs	124		
Ошибка (активно)	CS1503	Аргумент 1: не удается преобразовать из "int" в "string".	CheatHunterBTR	C:\CheatHunterBTR\Program.cs	195		
Ошибка (активно)	CS1503	Аргумент 1: не удается преобразовать из "int" в "string".	CheatHunterBTR	C:\CheatHunterBTR\Program.cs	221		
Ошибка (активно)	CS0103	Имя "BG" не существует в текущем контексте.	CheatHunterBTR	C:\CheatHunterBTR\Program.cs	219		
Ошибка (активно)	CS0103	Имя "checkCount" не существует в текущем контексте.	CheatHunterBTR	C:\CheatHunterBTR\Program.cs	342		
Ошибка (активно)	CS0103	Имя "D" не существует в текущем контексте.	CheatHunterBTR	C:\CheatHunterBTR\Program.cs	219		
Ошибка (активно)	CS0103	Имя "DD" не существует в текущем контексте.	CheatHunterBTR	C:\CheatHunterBTR\Program.cs	219		
Ошибка (активно)	CS0103	Имя "G" не существует в текущем контексте.	CheatHunterBTR	C:\CheatHunterBTR\Program.cs	274		
Ошибка (активно)	CS0103	Имя "IsAdministrator" не существует в текущем контексте.	CheatHunterBTR	C:\CheatHunterBTR\Program.cs	22		
Ошибка (активно)	CS0103	Имя "JF" не существует в текущем контексте.	CheatHunterBTR	C:\CheatHunterBTR\Program.cs	292		
Ошибка (активно)	IDE1007	Имя "searchStrings" не существует в текущем контексте.	CheatHunterBTR	C:\CheatHunterBTR\Program.cs	336		
Ошибка (активно)	CS0103	Имя "SendDiscordLog" не существует в текущем контексте.	CheatHunterBTR	C:\CheatHunterBTR\Program.cs	56		
Ошибка (активно)	CS0103	Имя "T" не существует в текущем контексте.	CheatHunterBTR	C:\CheatHunterBTR\Program.cs	228		
Ошибка (активно)	CS0103	Имя "T" не существует в текущем контексте.	CheatHunterBTR	C:\CheatHunterBTR\Program.cs	228		
Ошибка (активно)	CS0103	Имя "TdTjT" не существует в текущем контексте.	CheatHunterBTR	C:\CheatHunterBTR\Program.cs	228		
Ошибка (активно)	CS0103	Имя "w" не существует в текущем контексте.	CheatHunterBTR	C:\CheatHunterBTR\Program.cs	217		
